272.75 N N36 8
273.516 N N36 8
274.289 N N48 7
275.078 N N36 8
275.875 N N36 8
276.672 N N36 8
277.453 N N36 8
278.273 N N36 8
279.098 N N36 8
279.93 N N36 8
280.73 N N36 8
281.582 N N36 8
282.434 N N48 7
283.305 N N36 8
284.141 N N36 8
285.004 N N36 8
285.871 N N36 8
286.727 N N36 8
287.531 N N36 8
288.367 N N36 8
289.199 N N36 8
289.988 N N36 8
290.813 N N36 8
291.633 N N36 8
292.449 N N36 8
293.254 N N48 7
294.074 N N36 8
294.887 N N36 8
295.648 N N36 8
296.391 N N36 8
297.16 N N48 7
297.938 N N48 7
298.742 N N36 8
299.512 N N36 8
300.316 N N48 7
301.125 N N48 7
301.945 N N48 7
302.738 N N36 8
303.566 N N48 7
304.395 N N36 8
305.23 N N36 8
306.031 N N36 8
306.824 N N36 8
307.625 N N48 7
308.426 N N36 8
309.215 N N36 8
310.031 N N48 7
310.844 N N48 7
311.648 N N36 8
312.434 N N36 8
313.207 N N48 7
313.996 N N36 8
314.793 N N48 7
315.602 N N36 8
316.41 N N48 7
317.242 N N48 7
318.074 N N36 8
318.898 N N48 7
319.73 N N36 8
320.555 N N36 8
321.32 N N36 8
322.105 N N36 8
322.859 N N48 7
323.605 N N36 8
324.363 N N36 8
325.102 N N36 8
325.852 N N36 8
326.605 N N36 8
327.379 N N36 8
328.129 N N36 8
328.906 N N48 7
329.688 N N36 8
330.414 N N36 8
331.211 N N48 7
332.016 N N48 7
332.848 N N48 7
333.688 N N48 7
334.539 N N48 7
335.367 N N48 7
336.18 N N48 7
336.984 N N48 7
337.746 N N36 8
338.531 N N48 7
339.313 N N48 7
340.105 N N48 7
340.914 N N48 7
341.691 N N36 8
342.5 N N48 7
343.305 N N48 7
344.109 N N48 7
344.879 N N36 8
345.676 N N48 7
346.473 N N48 7
347.273 N N48 7
348.078 N N48 7
348.855 N N36 8
349.66 N N48 7
350.469 N N48 7
351.277 N N48 7
352.086 N N36 8
352.879 N N48 7
353.672 N N48 7
354.465 N N48 7
355.254 N N36 8
356.059 N N48 7
356.867 N N48 7
357.688 N N48 7
358.473 N N36 8
359.277 N N48 7
360.074 N N48 7
360.867 N N48 7
361.633 N N36 8
362.434 N N48 7
363.242 N N48 7
364.027 N N36 8
364.84 N N48 7
365.66 N N48 7
366.508 N N48 7
367.332 N N48 7
368.176 N N48 7
369.023 N N48 7
369.852 N N36 8
370.699 N N48 7
371.531 N N48 7
372.363 N N48 7
373.156 N N36 8
373.969 N N36 8
374.754 N N36 8
375.504 N N36 8
376.281 N N36 8
377.035 N N36 8
377.793 N N48 7
378.531 N N48 7
379.281 N N48 7
380.039 N N36 8
380.813 N N48 7
381.613 N N48 7
382.438 N N36 8
383.234 N N36 8
384.059 N N36 8
384.891 N N48 7
385.719 N N36 8
386.488 N N36 8
387.293 N N48 7
388.09 N N48 7
388.895 N N36 8
389.68 N N48 7
390.5 N N48 7
391.348 N N48 7
392.215 N N48 7
393.043 N N36 8
393.883 N N48 7
394.727 N N48 7
395.543 N N36 8
396.367 N N48 7
397.18 N N36 8
397.953 N N48 7
398.762 N N48 7
399.578 N N48 7
400.367 N N48 7
401.191 N N48 7
402.027 N N48 7
402.816 N N48 7
403.656 N N48 7
404.5 N N48 7
405.324 N N36 8
406.172 N N48 7
407.016 N N48 7
407.879 N N48 7
408.758 N N48 7
